Team,Score
Namibia,163/7
Sri Lanka,108
United Arab Emirates,111/8
Netherlands,112/7
Scotland,160/5
West Indies,118
Zimbabwe,174/7
Ireland,143/9
Namibia,121/6
Netherlands,122/5
Sri Lanka,152/8
United Arab Emirates,73
Scotland,176/5
Ireland,180/4
West Indies,153/7
Zimbabwe,122
Sri Lanka,162/6
Netherlands,146/9
United Arab Emirates,148/3
Namibia,141/8
West Indies,146/5
Ireland,150/1
Scotland,132/6
Zimbabwe,133/5
New Zealand,200/3
Australia,111
Afghanistan,112
England,113/5
Ireland,128/8
Sri Lanka,133/1
Pakistan,159/8
India,160/6
Bangladesh,144/8
Netherlands,135
Zimbabwe,79/5
South Africa,51/0
Sri Lanka,157/6
Australia,158/3
Ireland,157
England,105/5
South Africa,205/5
Bangladesh,101
India,179/2
Netherlands,123/9
Zimbabwe,130/8
Pakistan,129/8
New Zealand,167/7
Sri Lanka,102
Bangladesh,150/7
Zimbabwe,147/8
Netherlands,91/9
Pakistan,95/4
India,133/9
South Africa,137/5
Australia,179/5
Ireland,137
Afghanistan,144/8
Sri Lanka,148/4
England,179/6
New Zealand,159/6
Zimbabwe,117
Netherlands,120/5
India,184/6
Bangladesh,145/6
Pakistan,185/9
South Africa,108/9
New Zealand,185/6
Ireland,150/9
Australia,168/8
Afghanistan,164/7
Sri Lanka,141/8
England,144/6
Netherlands,158/4
South Africa,145/8
Bangladesh,127/8
Pakistan,128/5
India,186/5
Zimbabwe,115
New Zealand,152/4
Pakistan,153/3
India,168/6
England,170/0
Pakistan,137/8
England,138/5
